#GO term	GO term name	GO category	# positive examples	# negative examples	# unknown examples
6567	threonine catabolic process	P	25	10505	51316
6570	tyrosine metabolic process	P	13	10556	51277
6577	amino-acid betaine metabolic process	P	30	10549	51267
6579	amino-acid betaine catabolic process	P	21	10533	51292
6591	ornithine metabolic process	P	31	10535	51280
6595	polyamine metabolic process	P	37	10547	51262
6596	polyamine biosynthetic process	P	17	10566	51263
6598	polyamine catabolic process	P	18	10535	51293
6637	acyl-CoA metabolic process	P	37	10510	51299
6638	neutral lipid metabolic process	P	16	10548	51282
6639	acylglycerol metabolic process	P	16	10548	51282
6641	triglyceride metabolic process	P	15	10549	51282
6655	phosphatidylglycerol biosynthetic process	P	25	10445	51376
6665	sphingolipid metabolic process	P	15	10535	51296
6706	steroid catabolic process	P	16	10518	51312
6707	cholesterol catabolic process	P	15	10509	51322
6729	tetrahydrobiopterin biosynthetic process	P	12	10558	51276
6730	one-carbon metabolic process	P	33	10542	51271
6739	NADP metabolic process	P	30	10496	51320
6743	ubiquinone metabolic process	P	40	10558	51248
6744	ubiquinone biosynthetic process	P	40	10547	51259
6749	glutathione metabolic process	P	12	10542	51292
6754	ATP biosynthetic process	P	32	10484	51330
6768	biotin metabolic process	P	32	10527	51287
6771	riboflavin metabolic process	P	29	10549	51268
6772	thiamine metabolic process	P	37	10518	51291
6777	Mo-molybdopterin cofactor biosynthetic process	P	37	10511	51298
6782	protoporphyrinogen IX biosynthetic process	P	13	10536	51297
6805	xenobiotic metabolic process	P	27	10562	51257
6813	potassium ion transport	P	42	10380	51424
6814	sodium ion transport	P	24	10377	51445
6817	phosphate ion transport	P	36	10385	51425
6824	cobalt ion transport	P	13	10416	51417
6826	iron ion transport	P	39	10371	51436
6829	zinc II ion transport	P	13	10413	51420
6835	dicarboxylic acid transport	P	43	10370	51433
6855	drug transmembrane transport	P	42	10287	51517
6857	oligopeptide transport	P	41	10369	51436
6863	purine nucleobase transport	P	20	10404	51422
6879	cellular iron ion homeostasis	P	40	10522	51284
6880	intracellular sequestering of iron ion	P	17	10581	51248
6884	cell volume homeostasis	P	25	10573	51248
6885	regulation of pH	P	22	10575	51249
6886	intracellular protein transport	P	23	10350	51473
6972	hyperosmotic response	P	21	10556	51269
6986	response to unfolded protein	P	12	10575	51259
7059	chromosome segregation	P	26	10564	51256
7155	cell adhesion	P	41	10529	51276
8156	negative regulation of DNA replication	P	16	10579	51251
8202	steroid metabolic process	P	28	10534	51284
8203	cholesterol metabolic process	P	15	10539	51292
8213	protein alkylation	P	17	10528	51301
8216	spermidine metabolic process	P	12	10567	51267
8219	cell death	P	22	10578	51246
8272	sulfate transport	P	12	10402	51432
8299	isoprenoid biosynthetic process	P	35	10464	51347
8300	isoprenoid catabolic process	P	15	10511	51320
8360	regulation of cell shape	P	28	10489	51329
8361	regulation of cell size	P	25	10573	51248
8614	pyridoxine metabolic process	P	18	10552	51276
8615	pyridoxine biosynthetic process	P	15	10550	51281
8616	queuosine biosynthetic process	P	26	10530	51290
8645	hexose transport	P	28	10396	51422
8655	pyrimidine-containing compound salvage	P	26	10544	51276
9052	pentose-phosphate shunt, non-oxidative branch	P	23	10564	51259
9068	aspartate family amino acid catabolic process	P	44	10489	51313
9071	serine family amino acid catabolic process	P	22	10512	51312
9074	aromatic amino acid family catabolic process	P	13	10514	51319
9078	pyruvate family amino acid metabolic process	P	24	10545	51277
9080	pyruvate family amino acid catabolic process	P	16	10520	51310
9085	lysine biosynthetic process	P	47	10503	51296
9086	methionine biosynthetic process	P	39	10457	51350
9088	threonine biosynthetic process	P	20	10521	51305
9089	lysine biosynthetic process via diaminopimelate	P	39	10510	51297
9092	homoserine metabolic process	P	21	10549	51276
9093	cysteine catabolic process	P	12	10493	51341
9094	L-phenylalanine biosynthetic process	P	20	10503	51323
9095	aromatic amino acid family biosynthetic process, prephenate pathway	P	27	10497	51322
9097	isoleucine biosynthetic process	P	29	10520	51297
9098	leucine biosynthetic process	P	18	10537	51291
9099	valine biosynthetic process	P	26	10532	51288
9100	glycoprotein metabolic process	P	12	10571	51263
9102	biotin biosynthetic process	P	32	10526	51288
9106	lipoate metabolic process	P	12	10496	51338
9107	lipoate biosynthetic process	P	12	10396	51438
9113	purine nucleobase biosynthetic process	P	15	10544	51287
9129	pyrimidine nucleoside monophosphate metabolic process	P	15	10474	51357
9130	pyrimidine nucleoside monophosphate biosynthetic process	P	12	10476	51358
9133	nucleoside diphosphate biosynthetic process	P	12	10545	51289
9143	nucleoside triphosphate catabolic process	P	37	10484	51325
9145	purine nucleoside triphosphate biosynthetic process	P	45	10496	51305
9146	purine nucleoside triphosphate catabolic process	P	20	10493	51333
9147	pyrimidine nucleoside triphosphate metabolic process	P	29	10505	51312
9149	pyrimidine nucleoside triphosphate catabolic process	P	18	10494	51334
9151	purine deoxyribonucleotide metabolic process	P	19	10530	51297
9155	purine deoxyribonucleotide catabolic process	P	19	10481	51346
9157	deoxyribonucleoside monophosphate biosynthetic process	P	12	10535	51299
9162	deoxyribonucleoside monophosphate metabolic process	P	12	10536	51298
9164	nucleoside catabolic process	P	39	10477	51330
9176	pyrimidine deoxyribonucleoside monophosphate metabolic process	P	12	10543	51291
9177	pyrimidine deoxyribonucleoside monophosphate biosynthetic process	P	12	10542	51292
9187	cyclic nucleotide metabolic process	P	24	10532	51290
9190	cyclic nucleotide biosynthetic process	P	18	10537	51291
9200	deoxyribonucleoside triphosphate metabolic process	P	38	10515	51293
9201	ribonucleoside triphosphate biosynthetic process	P	46	10484	51316
9204	deoxyribonucleoside triphosphate catabolic process	P	28	10484	51334
9206	purine ribonucleoside triphosphate biosynthetic process	P	45	10496	51305
9211	pyrimidine deoxyribonucleoside triphosphate metabolic process	P	28	10525	51293
9213	pyrimidine deoxyribonucleoside triphosphate catabolic process	P	18	10494	51334
9215	purine deoxyribonucleoside triphosphate metabolic process	P	19	10539	51288
9217	purine deoxyribonucleoside triphosphate catabolic process	P	19	10493	51334
9218	pyrimidine ribonucleotide metabolic process	P	30	10466	51350
9219	pyrimidine deoxyribonucleotide metabolic process	P	31	10516	51299
9220	pyrimidine ribonucleotide biosynthetic process	P	18	10475	51353
9221	pyrimidine deoxyribonucleotide biosynthetic process	P	21	10503	51322
9222	pyrimidine ribonucleotide catabolic process	P	11	10501	51334
9223	pyrimidine deoxyribonucleotide catabolic process	P	19	10482	51345
9225	nucleotide-sugar metabolic process	P	44	10495	51307
9226	nucleotide-sugar biosynthetic process	P	27	10514	51305
9228	thiamine biosynthetic process	P	35	10517	51294
9231	riboflavin biosynthetic process	P	29	10549	51268
9233	menaquinone metabolic process	P	24	10568	51254
9234	menaquinone biosynthetic process	P	24	10554	51268
9235	cobalamin metabolic process	P	13	10557	51276
9236	cobalamin biosynthetic process	P	13	10554	51279
9240	isopentenyl diphosphate biosynthetic process	P	25	10466	51355
9242	colanic acid biosynthetic process	P	13	10515	51318
9243	O antigen biosynthetic process	P	35	10486	51325
9245	lipid A biosynthetic process	P	45	10370	51431
9249	protein lipoylation	P	16	10514	51316
9250	glucan biosynthetic process	P	34	10490	51322
9251	glucan catabolic process	P	22	10494	51330
9253	peptidoglycan catabolic process	P	26	10510	51310
9254	peptidoglycan turnover	P	21	10544	51281
9261	ribonucleotide catabolic process	P	14	10506	51326
9263	deoxyribonucleotide biosynthetic process	P	34	10521	51291
9264	deoxyribonucleotide catabolic process	P	40	10480	51326
9265	2'-deoxyribonucleotide biosynthetic process	P	27	10521	51298
9268	response to pH	P	33	10566	51247
9273	peptidoglycan-based cell wall biogenesis	P	40	10556	51250
9310	amine catabolic process	P	39	10511	51296
9313	oligosaccharide catabolic process	P	20	10498	51328
9372	quorum sensing	P	11	10576	51259
9394	2'-deoxyribonucleotide metabolic process	P	47	10509	51290
9396	folic acid-containing compound biosynthetic process	P	36	10514	51296
9404	toxin metabolic process	P	12	10584	51250
9409	response to cold	P	25	10556	51265
9411	response to UV	P	19	10531	51296
9416	response to light stimulus	P	22	10530	51294
9423	chorismate biosynthetic process	P	40	10527	51279
9435	NAD biosynthetic process	P	37	10503	51306
9437	carnitine metabolic process	P	13	10568	51265
9445	putrescine metabolic process	P	18	10562	51266
9447	putrescine catabolic process	P	12	10537	51297
9448	gamma-aminobutyric acid metabolic process	P	11	10559	51276
9450	gamma-aminobutyric acid catabolic process	P	11	10526	51309
9615	response to virus	P	17	10576	51253
9617	response to bacterium	P	39	10558	51249
9636	response to toxic substance	P	11	10579	51256
9651	response to salt stress	P	14	10565	51267
9712	catechol-containing compound metabolic process	P	22	10574	51250
9713	catechol-containing compound biosynthetic process	P	12	10584	51250
9894	regulation of catabolic process	P	42	10555	51249
9966	regulation of signal transduction	P	11	10587	51248
9992	cellular water homeostasis	P	24	10557	51265
10043	response to zinc ion	P	28	10570	51248
10106	cellular response to iron ion starvation	P	16	10530	51300
10124	phenylacetate catabolic process	P	12	10538	51296
10165	response to X-ray	P	16	10524	51306
10212	response to ionizing radiation	P	28	10523	51295
10243	response to organonitrogen compound	P	49	10542	51255
10447	response to acidic pH	P	24	10568	51254
10646	regulation of cell communication	P	13	10585	51248
10675	regulation of cellular carbohydrate metabolic process	P	14	10583	51249
10959	regulation of metal ion transport	P	14	10583	51249
12501	programmed cell death	P	15	10578	51253
15628	protein secretion by the type II secretion system	P	46	10201	51599
15682	ferric iron transport	P	11	10406	51429
15688	iron chelate transport	P	29	10407	51410
15697	quaternary ammonium group transport	P	44	10369	51433
15707	nitrite transport	P	11	10403	51432
15718	monocarboxylic acid transport	P	30	10377	51439
15740	C4-dicarboxylate transport	P	32	10377	51437
15748	organophosphate ester transport	P	16	10429	51401
15749	monosaccharide transport	P	43	10379	51424
15750	pentose transport	P	14	10428	51404
15766	disaccharide transport	P	25	10410	51411
15772	oligosaccharide transport	P	27	10410	51409
15774	polysaccharide transport	P	15	10426	51405
15791	polyol transport	P	12	10433	51401
15794	glycerol-3-phosphate transport	P	11	10412	51423
15803	branched-chain amino acid transport	P	27	10330	51489
15811	L-cystine transport	P	11	10340	51495
15818	isoleucine transport	P	22	10332	51492
15820	leucine transport	P	19	10331	51496
15821	methionine transport	P	17	10330	51499
15829	valine transport	P	11	10331	51504
15838	amino-acid betaine transport	P	44	10369	51433
15846	polyamine transport	P	36	10392	51418
15847	putrescine transport	P	26	10386	51434
15848	spermidine transport	P	22	10390	51434
15850	organic hydroxy compound transport	P	33	10410	51403
15851	nucleobase transport	P	32	10397	51417
15858	nucleoside transport	P	16	10414	51416
15886	heme transport	P	20	10401	51425
15891	siderophore transport	P	26	10407	51413
15906	sulfathiazole transport	P	11	10412	51423
15920	lipopolysaccharide transport	P	28	10416	51402
15931	nucleobase-containing compound transport	P	20	10408	51418
15936	coenzyme A metabolic process	P	23	10525	51298
15937	coenzyme A biosynthetic process	P	21	10489	51336
15939	pantothenate metabolic process	P	34	10546	51266
15940	pantothenate biosynthetic process	P	34	10534	51278
15942	formate metabolic process	P	17	10573	51256
15944	formate oxidation	P	15	10499	51332
15949	nucleobase-containing small molecule interconversion	P	42	10528	51276
15969	guanosine tetraphosphate metabolic process	P	18	10519	51309
15976	carbon utilization	P	13	10584	51249
15985	energy coupled proton transport, down electrochemical gradient	P	32	10254	51560
15986	ATP synthesis coupled proton transport	P	32	10177	51637
15988	energy coupled proton transmembrane transport, against electrochemical gradient	P	24	10260	51562
15990	electron transport coupled proton transport	P	23	10268	51555
16036	cellular response to phosphate starvation	P	12	10535	51299
16071	mRNA metabolic process	P	41	10507	51298
16075	rRNA catabolic process	P	11	10486	51349
16093	polyprenol metabolic process	P	13	10551	51282
16094	polyprenol biosynthetic process	P	13	10499	51334
16125	sterol metabolic process	P	25	10536	51285
16127	sterol catabolic process	P	15	10509	51322
16137	glycoside metabolic process	P	13	10574	51259
16226	iron-sulfur cluster assembly	P	42	10518	51286
16485	protein processing	P	27	10440	51379
16999	antibiotic metabolic process	P	21	10571	51254
17000	antibiotic biosynthetic process	P	14	10579	51253
17004	cytochrome complex assembly	P	21	10558	51267
17038	protein import	P	16	10365	51465
17144	drug metabolic process	P	23	10571	51252
18065	protein-cofactor linkage	P	20	10526	51300
18205	peptidyl-lysine modification	P	32	10519	51295
18206	peptidyl-methionine modification	P	14	10542	51290
18209	peptidyl-serine modification	P	14	10541	51291
18315	molybdenum incorporation into molybdenum-molybdopterin complex	P	13	10541	51292
18364	peptidyl-glutamine methylation	P	13	10485	51348
18958	phenol-containing compound metabolic process	P	32	10564	51250
19216	regulation of lipid metabolic process	P	45	10553	51248
19217	regulation of fatty acid metabolic process	P	32	10565	51249
19220	regulation of phosphate metabolic process	P	32	10563	51251
19288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	P	20	10457	51369
19290	siderophore biosynthetic process	P	48	10521	51277
19319	hexose biosynthetic process	P	45	10512	51289
19320	hexose catabolic process	P	40	10477	51329
19323	pentose catabolic process	P	46	10464	51336
19344	cysteine biosynthetic process	P	44	10479	51323
19354	siroheme biosynthetic process	P	12	10501	51333
19355	nicotinamide nucleotide biosynthetic process from aspartate	P	17	10513	51316
19359	nicotinamide nucleotide biosynthetic process	P	40	10500	51306
19363	pyridine nucleotide biosynthetic process	P	40	10497	51309
19388	galactose catabolic process	P	17	10502	51327
19400	alditol metabolic process	P	33	10481	51332
19405	alditol catabolic process	P	18	10469	51359
19419	sulfate reduction	P	12	10479	51355
19432	triglyceride biosynthetic process	P	15	10512	51319
19520	aldonic acid metabolic process	P	15	10533	51298
19540	siderophore biosynthetic process from catechol	P	18	10547	51281
19541	propionate metabolic process	P	25	10501	51320
19546	arginine deiminase pathway	P	13	10499	51334
19563	glycerol catabolic process	P	12	10473	51361
19626	short-chain fatty acid catabolic process	P	11	10462	51373
19627	urea metabolic process	P	38	10547	51261
19632	shikimate metabolic process	P	26	10572	51248
19634	organic phosphonate metabolic process	P	12	10576	51258
19645	anaerobic electron transport chain	P	21	10453	51372
19646	aerobic electron transport chain	P	15	10429	51402
19674	NAD metabolic process	P	42	10512	51292
19676	ammonia assimilation cycle	P	11	10548	51287
19679	propionate metabolic process, methylcitrate cycle	P	13	10520	51313
19692	deoxyribose phosphate metabolic process	P	47	10528	51271
19695	choline metabolic process	P	12	10572	51262
19720	Mo-molybdopterin cofactor metabolic process	P	37	10527	51282
19740	nitrogen utilization	P	17	10583	51246
19835	cytolysis	P	18	10577	51251
19856	pyrimidine nucleobase biosynthetic process	P	24	10506	51316
19877	diaminopimelate biosynthetic process	P	13	10541	51292
20012	evasion or tolerance of host immune response	P	44	10498	51304
22402	cell cycle process	P	40	10550	51256
22411	cellular component disassembly	P	38	10554	51254
22414	reproductive process	P	20	10571	51255
22603	regulation of anatomical structure morphogenesis	P	28	10489	51329
22604	regulation of cell morphogenesis	P	28	10489	51329
22611	dormancy process	P	14	10585	51247
22613	ribonucleoprotein complex biogenesis	P	20	10527	51299
22616	DNA strand elongation	P	25	10533	51288
23051	regulation of signaling	P	12	10586	51248
30004	cellular monovalent inorganic cation homeostasis	P	19	10563	51264
30091	protein repair	P	13	10569	51264
30104	water homeostasis	P	24	10574	51248
30149	sphingolipid catabolic process	P	12	10500	51334
30162	regulation of proteolysis	P	22	10572	51252
30163	protein catabolic process	P	30	10518	51298
30174	regulation of DNA-dependent DNA replication initiation	P	15	10579	51252
30254	protein secretion by the type III secretion system	P	37	10207	51602
30260	entry into host cell	P	16	10580	51250
30388	fructose 1,6-bisphosphate metabolic process	P	13	10574	51259
30488	tRNA methylation	P	24	10354	51468
30490	maturation of SSU-rRNA	P	21	10503	51322
30497	fatty acid elongation	P	18	10436	51392
30641	regulation of cellular pH	P	19	10560	51267
30682	evasion or tolerance of host defense response	P	44	10544	51258
31119	tRNA pseudouridine synthesis	P	30	10429	51387
31163	metallo-sulfur cluster assembly	P	42	10543	51261
31329	regulation of cellular catabolic process	P	30	10567	51249
31333	negative regulation of protein complex assembly	P	19	10578	51249
31334	positive regulation of protein complex assembly	P	12	10583	51251
31347	regulation of defense response	P	16	10576	51254
31365	N-terminal protein amino acid modification	P	39	10520	51287
31455	glycine betaine metabolic process	P	13	10571	51262
31457	glycine betaine catabolic process	P	11	10543	51292
31460	glycine betaine transport	P	43	10370	51433
31554	regulation of DNA-templated transcription, termination	P	25	10029	51792
31555	transcriptional attenuation	P	21	10030	51795
31564	transcription antitermination	P	16	10031	51799
31589	cell-substrate adhesion	P	18	10559	51269
31640	killing of cells of other organism	P	31	10568	51247
32048	cardiolipin metabolic process	P	15	10535	51296
32049	cardiolipin biosynthetic process	P	15	10446	51385
32101	regulation of response to external stimulus	P	12	10583	51251
32196	transposition	P	20	10574	51252
32270	positive regulation of cellular protein metabolic process	P	36	10555	51255
32297	negative regulation of DNA-dependent DNA replication initiation	P	11	10580	51255
32324	molybdopterin cofactor biosynthetic process	P	26	10510	51310
32328	alanine transport	P	12	10342	51492
32386	regulation of intracellular transport	P	11	10586	51249
32392	DNA geometric change	P	31	10522	51293
32409	regulation of transporter activity	P	11	10586	51249
32502	developmental process	P	16	10579	51251
32506	cytokinetic process	P	14	10580	51252
32508	DNA duplex unwinding	P	31	10522	51293
32535	regulation of cellular component size	P	25	10573	51248
32880	regulation of protein localization	P	44	10551	51251
32984	macromolecular complex disassembly	P	38	10554	51254
33103	protein secretion by the type VI secretion system	P	31	10217	51598
33157	regulation of intracellular protein transport	P	11	10585	51250
33212	iron assimilation	P	15	10538	51293
33238	regulation of cellular amine metabolic process	P	20	10577	51249
33317	pantothenate biosynthetic process from valine	P	29	10521	51296
33499	galactose catabolic process via UDP-galactose	P	12	10502	51332
33539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	P	13	10327	51506
33585	L-phenylalanine biosynthetic process from chorismate via phenylpyruvate	P	12	10499	51335
33865	nucleoside bisphosphate metabolic process	P	43	10514	51289
33866	nucleoside bisphosphate biosynthetic process	P	21	10531	51294
33875	ribonucleoside bisphosphate metabolic process	P	43	10514	51289
34030	ribonucleoside bisphosphate biosynthetic process	P	21	10531	51294
34032	purine nucleoside bisphosphate metabolic process	P	43	10514	51289
34033	purine nucleoside bisphosphate biosynthetic process	P	21	10531	51294
34035	purine ribonucleoside bisphosphate metabolic process	P	20	10538	51288
34219	carbohydrate transmembrane transport	P	17	10183	51646
34227	tRNA thio-modification	P	17	10437	51392
34250	positive regulation of cellular amide metabolic process	P	19	10574	51253
34308	primary alcohol metabolic process	P	17	10568	51261
34311	diol metabolic process	P	26	10572	51248
34312	diol biosynthetic process	P	20	10579	51247
34471	ncRNA 5'-end processing	P	11	10530	51305
34613	cellular protein localization	P	30	10567	51249
34614	cellular response to reactive oxygen species	P	25	10450	51371
34627	'de novo' NAD biosynthetic process	P	17	10506	51323
34628	'de novo' NAD biosynthetic process from aspartate	P	17	10493	51336
34661	ncRNA catabolic process	P	17	10481	51348
34762	regulation of transmembrane transport	P	12	10583	51251
35383	thioester metabolic process	P	37	10518	51291
35435	phosphate ion transmembrane transport	P	16	10289	51541
35442	dipeptide transmembrane transport	P	11	10276	51559
35510	DNA dealkylation	P	23	10534	51289
35672	oligopeptide transmembrane transport	P	16	10284	51546
35725	sodium ion transmembrane transport	P	16	10289	51541
35966	response to topologically incorrect protein	P	14	10573	51259
35999	tetrahydrofolate interconversion	P	11	10536	51299
36265	RNA (guanine-N7)-methylation	P	17	10460	51369
36294	cellular response to decreased oxygen levels	P	11	10578	51257
40012	regulation of locomotion	P	44	10551	51251
40013	negative regulation of locomotion	P	15	10583	51248
40017	positive regulation of locomotion	P	16	10580	51250
42026	protein refolding	P	11	10543	51292
42040	metal incorporation into metallo-molybdopterin complex	P	13	10541	51292
42120	alginic acid metabolic process	P	16	10525	51305
42121	alginic acid biosynthetic process	P	14	10505	51327
42178	xenobiotic catabolic process	P	19	10545	51282
42214	terpene metabolic process	P	11	10553	51282
42219	cellular modified amino acid catabolic process	P	28	10521	51297
42254	ribosome biogenesis	P	17	10527	51302
42402	cellular biogenic amine catabolic process	P	39	10511	51296
42450	arginine biosynthetic process via ornithine	P	25	10492	51329
42451	purine nucleoside biosynthetic process	P	38	10493	51315
42454	ribonucleoside catabolic process	P	30	10487	51329
42537	benzene-containing compound metabolic process	P	31	10556	51259
42542	response to hydrogen peroxide	P	38	10485	51323
42546	cell wall biogenesis	P	41	10556	51249
42559	pteridine-containing compound biosynthetic process	P	48	10528	51270
42723	thiamine-containing compound metabolic process	P	37	10518	51291
42724	thiamine-containing compound biosynthetic process	P	35	10519	51292
42726	flavin-containing compound metabolic process	P	30	10548	51268
42727	flavin-containing compound biosynthetic process	P	29	10549	51268
42742	defense response to bacterium	P	38	10554	51254
42743	hydrogen peroxide metabolic process	P	15	10584	51247
42744	hydrogen peroxide catabolic process	P	15	10563	51268
42783	active evasion of host immune response	P	19	10518	51309
42816	vitamin B6 metabolic process	P	35	10545	51266
42819	vitamin B6 biosynthetic process	P	34	10545	51267
42822	pyridoxal phosphate metabolic process	P	25	10548	51273
42823	pyridoxal phosphate biosynthetic process	P	25	10533	51288
42884	microcin transport	P	17	10379	51450
42891	antibiotic transport	P	33	10412	51401
42906	xanthine transport	P	16	10408	51422
42930	enterobactin transport	P	14	10397	51435
42938	dipeptide transport	P	23	10375	51448
42940	D-amino acid transport	P	28	10332	51486
42956	maltodextrin transport	P	11	10428	51407
42968	homoserine transport	P	25	10334	51487
43085	positive regulation of catalytic activity	P	33	10546	51267
43086	negative regulation of catalytic activity	P	30	10549	51267
43090	amino acid import	P	17	10339	51490
43092	L-amino acid import	P	14	10345	51487
43093	FtsZ-dependent cytokinesis	P	20	10571	51255
43096	purine nucleobase salvage	P	11	10550	51285
